10:26:54.517 logback [restartedMain] INFO  c.io.hydralisk.HydraliskApplication - Starting HydraliskApplication on SD-20200517RMDD with PID 12512 (C:\app\ideaSpace\leviathan\target\classes started by Administrator in C:\app\ideaSpace\leviathan)
10:26:54.520 logback [restartedMain] INFO  c.io.hydralisk.HydraliskApplication - No active profile set, falling back to default profiles: default
10:26:54.568 logback [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
10:26:54.568 logback [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
10:26:55.553 logback [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
10:26:55.560 logback [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
10:26:55.561 logback [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:26:55.562 logback [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
10:26:55.626 logback [restartedMain] INFO  o.a.c.c.C.[.[localhost].[/star] - Initializing Spring embedded WebApplicationContext
10:26:55.626 logback [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1057 ms
10:26:56.074 logback [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
10:26:56.266 logback [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
10:26:56.279 logback [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
10:26:56.296 logback [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path '/star'
10:26:56.304 logback [restartedMain] INFO  c.io.hydralisk.HydraliskApplication - Started HydraliskApplication in 2.213 seconds (JVM running for 2.942)
10:27:07.535 logback [http-nio-8888-exec-1] INFO  o.a.c.c.C.[.[localhost].[/star] - Initializing Spring DispatcherServlet 'dispatcherServlet'
10:27:07.535 logback [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
10:27:07.540 logback [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 5 ms
10:27:07.597 logback [http-nio-8888-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
10:27:07.880 logback [http-nio-8888-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
10:28:59.400 logback [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
10:28:59.400 logback [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
10:28:59.409 logback [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
10:29:03.206 logback [restartedMain] INFO  c.io.hydralisk.HydraliskApplication - Starting HydraliskApplication on SD-20200517RMDD with PID 6496 (C:\app\ideaSpace\leviathan\target\classes started by Administrator in C:\app\ideaSpace\leviathan)
10:29:03.208 logback [restartedMain] INFO  c.io.hydralisk.HydraliskApplication - No active profile set, falling back to default profiles: default
10:29:03.253 logback [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
10:29:03.254 logback [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
10:29:04.191 logback [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
10:29:04.200 logback [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
10:29:04.201 logback [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:29:04.201 logback [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
10:29:04.272 logback [restartedMain] INFO  o.a.c.c.C.[.[localhost].[/star] - Initializing Spring embedded WebApplicationContext
10:29:04.272 logback [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1018 ms
10:29:04.736 logback [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
10:29:04.923 logback [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
10:29:04.936 logback [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
10:29:04.954 logback [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path '/star'
10:29:04.963 logback [restartedMain] INFO  c.io.hydralisk.HydraliskApplication - Started HydraliskApplication in 2.175 seconds (JVM running for 2.89)
10:29:09.771 logback [http-nio-8888-exec-1] INFO  o.a.c.c.C.[.[localhost].[/star] - Initializing Spring DispatcherServlet 'dispatcherServlet'
10:29:09.771 logback [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
10:29:09.775 logback [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
